dt 	Current 	Target 	ShortestDistance 	Error 	Acc. Error 	State 	Pivot: br	PID output 				
20017855	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.017855			
20691162	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.691162			
19661620	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		19.66162			
20663190	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.66319			
20682587	73.247389184	73.3440854065	-0	0	0	DISABLED	0 		20.682587			
19700315	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.700315			
19934198	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.934198			
20732267	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		20.732267			
20884908	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.884908			
19682725	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.682725			
19763627	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.763627			
20000561	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		20.000561			
20459844	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.459844			
19903757	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.903757			
20131988	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.131988			
19868812	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.868812			
19826444	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.826444			
19619617	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.619617			
20839587	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.839587			
20814783	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.814783			
19962296	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		19.962296			
19550611	73.247389184	73.3440854065	-0	0	0	DISABLED	0 		19.550611			
20558277	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.558277			
20076733	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.076733			
20992662	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.992662			
19687940	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.68794			
19570729	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		19.570729			
20071544	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.071544			
20046911	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.046911			
20182271	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.182271			
21568894	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		21.568894			
19022961	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		19.022961			
20936073	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.936073			
21035331	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		21.035331			
20610897	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.610897			
19582654	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.582654			
20608932	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.608932			
19846729	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.846729			
19612096	73.247389184	73.247389184	-0.0016876667	0	0	DISABLED	0 		19.612096			
19841135	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.841135			
20808174	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.808174			
20786808	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.786808			
19556983	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.556983			
20560740	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.56074			
19530046	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.530046			
19887482	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		19.887482			
19724098	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.724098			
20554956	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.554956			
19657693	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.657693			
20580525	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.580525			
19518724	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.518724			
20641209	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.641209			
20568245	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.568245			
19614313	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.614313			
20647518	73.3440854065	73.3440854065	-0	0	0	DISABLED	0 		20.647518			
19556299	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.556299			
20535396	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.535396			
19563901	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.563901			
20496030	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.49603			
